datetime,symbol,open,high,low,close,volume
2024-12-03 15:30:00,NASDAQ:AAPL,239.81,242.76,238.9,242.65,38861017.0
2024-12-04 15:30:00,NASDAQ:AAPL,242.87,244.11,241.25,243.01,44383935.0
2024-12-05 15:30:00,NASDAQ:AAPL,243.99,244.54,242.13,243.04,40033878.0
2024-12-06 15:30:00,NASDAQ:AAPL,242.905,244.63,242.08,242.84,36870619.0
2024-12-09 15:30:00,NASDAQ:AAPL,241.83,247.24,241.75,246.75,44649232.0
2024-12-10 15:30:00,NASDAQ:AAPL,246.89,248.21,245.34,247.77,36914806.0
2024-12-11 15:30:00,NASDAQ:AAPL,247.96,250.8,246.2601,246.49,45205814.0
2024-12-12 15:30:00,NASDAQ:AAPL,246.89,248.74,245.68,247.96,32777532.0
2024-12-13 15:30:00,NASDAQ:AAPL,247.815,249.2902,246.24,248.13,33155290.0
2024-12-16 15:30:00,NASDAQ:AAPL,247.99,251.38,247.65,251.04,51694753.0
2024-12-17 15:30:00,NASDAQ:AAPL,250.08,253.83,249.78,253.48,51356360.0
2024-12-18 15:30:00,NASDAQ:AAPL,252.16,254.28,247.74,248.05,56774101.0
2024-12-19 15:30:00,NASDAQ:AAPL,247.5,252.0,247.0949,249.79,60882264.0
2024-12-20 15:30:00,NASDAQ:AAPL,248.04,255.0,245.69,254.49,147495267.0
2024-12-23 15:30:00,NASDAQ:AAPL,254.77,255.65,253.45,255.27,40858774.0
2024-12-24 15:30:00,NASDAQ:AAPL,255.49,258.21,255.29,258.2,23234705.0
2024-12-26 15:30:00,NASDAQ:AAPL,258.19,260.1,257.63,259.02,27262983.0
2024-12-27 15:30:00,NASDAQ:AAPL,257.83,258.7,253.06,255.59,42355321.0
2024-12-30 15:30:00,NASDAQ:AAPL,252.23,253.5,250.75,252.2,35557542.0
2024-12-31 15:30:00,NASDAQ:AAPL,252.44,253.28,249.43,250.42,39480718.0
2025-01-02 15:30:00,NASDAQ:AAPL,248.93,249.1,241.8201,243.85,55740731.0
2025-01-03 15:30:00,NASDAQ:AAPL,243.36,244.18,241.89,243.36,40244114.0
2025-01-06 15:30:00,NASDAQ:AAPL,244.31,247.33,243.2,245.0,45045571.0
2025-01-07 15:30:00,NASDAQ:AAPL,242.98,245.55,241.35,242.21,40855960.0
2025-01-08 15:30:00,NASDAQ:AAPL,241.92,243.7123,240.05,242.7,37628940.0
2025-01-10 15:30:00,NASDAQ:AAPL,240.01,240.16,233.0,236.85,61710856.0
2025-01-13 15:30:00,NASDAQ:AAPL,233.53,234.67,229.72,234.4,49630725.0
2025-01-14 15:30:00,NASDAQ:AAPL,234.75,236.12,232.472,233.28,39435294.0
2025-01-15 15:30:00,NASDAQ:AAPL,234.635,238.96,234.43,237.87,39831969.0
2025-01-16 15:30:00,NASDAQ:AAPL,237.35,238.01,228.03,228.26,71759052.0
2025-01-17 15:30:00,NASDAQ:AAPL,232.115,232.29,228.48,229.98,68488301.0
2024-12-03 15:30:00,NASDAQ:MSFT,429.84,432.47,427.74,431.2,18301987.0
2024-12-04 15:30:00,NASDAQ:MSFT,433.03,439.67,432.63,437.42,26009429.0
2024-12-05 15:30:00,NASDAQ:MSFT,437.92,444.66,436.171,442.62,21697775.0
2024-12-06 15:30:00,NASDAQ:MSFT,442.3,446.1,441.7703,443.57,18821002.0
2024-12-09 15:30:00,NASDAQ:MSFT,442.6,448.33,440.5,446.02,19144388.0
2024-12-10 15:30:00,NASDAQ:MSFT,444.39,449.62,441.6,443.33,18469459.0
2024-12-11 15:30:00,NASDAQ:MSFT,444.05,450.35,444.05,448.99,19200208.0
2024-12-12 15:30:00,NASDAQ:MSFT,449.11,456.1648,449.11,449.56,20834779.0
2024-12-13 15:30:00,NASDAQ:MSFT,448.435,451.43,445.58,447.27,20177833.0
2024-12-16 15:30:00,NASDAQ:MSFT,447.27,452.18,445.28,451.59,23598834.0
2024-12-17 15:30:00,NASDAQ:MSFT,451.01,455.29,449.57,454.46,22733494.0
2024-12-18 15:30:00,NASDAQ:MSFT,451.32,452.65,437.02,437.39,24444545.0
2024-12-19 15:30:00,NASDAQ:MSFT,441.62,443.1834,436.32,437.03,22963681.0
2024-12-20 15:30:00,NASDAQ:MSFT,433.11,443.74,428.63,436.6,64263694.0
2024-12-23 15:30:00,NASDAQ:MSFT,436.74,437.65,432.83,435.25,19152519.0
2024-12-24 15:30:00,NASDAQ:MSFT,434.65,439.6,434.19,439.33,7164543.0
2024-12-26 15:30:00,NASDAQ:MSFT,439.08,440.94,436.63,438.11,8199927.0
2024-12-27 15:30:00,NASDAQ:MSFT,434.6,435.22,426.35,430.53,18117713.0
2024-12-30 15:30:00,NASDAQ:MSFT,426.06,427.55,421.9,424.83,13158703.0
2024-12-31 15:30:00,NASDAQ:MSFT,426.1,426.73,420.66,421.5,13246509.0
2025-01-02 15:30:00,NASDAQ:MSFT,425.53,426.07,414.85,418.58,16896469.0
2025-01-03 15:30:00,NASDAQ:MSFT,421.08,424.03,419.54,423.35,16662943.0
2025-01-06 15:30:00,NASDAQ:MSFT,428.0,434.32,425.4774,427.85,20573648.0
2025-01-07 15:30:00,NASDAQ:MSFT,429.0,430.65,420.8,422.37,18139065.0
2025-01-08 15:30:00,NASDAQ:MSFT,423.46,426.97,421.54,424.56,15054575.0
2025-01-10 15:30:00,NASDAQ:MSFT,424.63,424.71,415.02,418.95,20201132.0
2025-01-13 15:30:00,NASDAQ:MSFT,415.235,418.5,412.29,417.19,17604780.0
2025-01-14 15:30:00,NASDAQ:MSFT,417.81,419.74,410.72,415.67,16935856.0
2025-01-15 15:30:00,NASDAQ:MSFT,419.13,428.15,418.265,426.31,19637838.0
2025-01-16 15:30:00,NASDAQ:MSFT,428.695,429.49,424.39,424.58,15300023.0
2025-01-17 15:30:00,NASDAQ:MSFT,434.085,434.48,428.17,429.03,26197507.0
2024-12-03 15:30:00,NASDAQ:NVDA,138.26,140.54,137.95,140.26,164413965.0
2024-12-04 15:30:00,NASDAQ:NVDA,141.995,145.79,140.29,145.14,231224295.0
2024-12-05 15:30:00,NASDAQ:NVDA,145.11,146.54,143.95,145.06,172621180.0
2024-12-06 15:30:00,NASDAQ:NVDA,144.6,145.7,141.31,142.44,188505573.0
2024-12-09 15:30:00,NASDAQ:NVDA,138.97,139.95,137.13,138.81,189308625.0
2024-12-10 15:30:00,NASDAQ:NVDA,139.01,141.82,133.79,135.07,210020888.0
2024-12-11 15:30:00,NASDAQ:NVDA,137.36,140.17,135.21,139.31,184905192.0
2024-12-12 15:30:00,NASDAQ:NVDA,137.08,138.44,135.8,137.34,159211393.0
2024-12-13 15:30:00,NASDAQ:NVDA,138.94,139.6,132.54,134.25,231514881.0
2024-12-16 15:30:00,NASDAQ:NVDA,134.18,134.4,130.42,132.0,237951130.0
2024-12-17 15:30:00,NASDAQ:NVDA,129.09,131.59,126.86,130.39,259410263.0
2024-12-18 15:30:00,NASDAQ:NVDA,133.86,136.7,128.28,128.91,277444533.0
2024-12-19 15:30:00,NASDAQ:NVDA,131.76,134.03,129.55,130.68,209719210.0
2024-12-20 15:30:00,NASDAQ:NVDA,129.81,135.28,128.22,134.7,306528553.0
2024-12-23 15:30:00,NASDAQ:NVDA,136.28,139.79,135.1201,139.67,176053506.0
2024-12-24 15:30:00,NASDAQ:NVDA,140.0,141.9,138.65,140.22,105156989.0
2024-12-26 15:30:00,NASDAQ:NVDA,139.7,140.85,137.73,139.93,116519090.0
2024-12-27 15:30:00,NASDAQ:NVDA,138.55,139.02,134.71,137.01,170582603.0
2024-12-30 15:30:00,NASDAQ:NVDA,134.83,140.27,134.02,137.49,167734700.0
2024-12-31 15:30:00,NASDAQ:NVDA,138.03,138.07,133.83,134.29,155659211.0
2025-01-02 15:30:00,NASDAQ:NVDA,136.0,138.88,134.63,138.31,198247166.0
2025-01-03 15:30:00,NASDAQ:NVDA,140.01,144.9,139.73,144.47,229322478.0
2025-01-06 15:30:00,NASDAQ:NVDA,148.59,152.156,147.8201,149.43,265377359.0
2025-01-07 15:30:00,NASDAQ:NVDA,153.03,153.13,140.01,140.14,351782174.0
2025-01-08 15:30:00,NASDAQ:NVDA,142.58,143.95,137.56,140.11,227349948.0
2025-01-10 15:30:00,NASDAQ:NVDA,137.45,139.92,134.22,135.91,207602514.0
2025-01-13 15:30:00,NASDAQ:NVDA,129.99,133.49,129.51,133.23,204808914.0
2025-01-14 15:30:00,NASDAQ:NVDA,136.05,136.38,130.05,131.76,195590485.0
2025-01-15 15:30:00,NASDAQ:NVDA,133.65,136.45,131.29,136.24,185217338.0
2025-01-16 15:30:00,NASDAQ:NVDA,138.64,138.75,133.49,133.57,209235583.0
2025-01-17 15:30:00,NASDAQ:NVDA,136.69,138.5,135.4649,137.71,201188760.0
2024-12-03 15:30:00,NASDAQ:INTC,23.68,23.75,22.44,22.47,138160493.0
2024-12-04 15:30:00,NASDAQ:INTC,22.53,22.54,21.81,21.96,104648976.0
2024-12-05 15:30:00,NASDAQ:INTC,22.04,22.19,20.66,20.8,167993483.0
2024-12-06 15:30:00,NASDAQ:INTC,20.95,21.05,20.66,20.92,78539132.0
2024-12-09 15:30:00,NASDAQ:INTC,20.92,21.06,20.73,20.81,68818217.0
2024-12-10 15:30:00,NASDAQ:INTC,20.83,20.86,19.96,20.16,90004833.0
2024-12-11 15:30:00,NASDAQ:INTC,20.14,20.25,19.87,20.12,75209342.0
2024-12-12 15:30:00,NASDAQ:INTC,20.02,20.9,19.92,20.78,77695010.0
2024-12-13 15:30:00,NASDAQ:INTC,20.6,20.8,20.25,20.34,55104079.0
2024-12-16 15:30:00,NASDAQ:INTC,20.17,21.1,20.0,20.83,73832891.0
2024-12-17 15:30:00,NASDAQ:INTC,20.64,20.77,20.2925,20.44,51767153.0
2024-12-18 15:30:00,NASDAQ:INTC,20.48,20.58,19.21,19.3,86041243.0
2024-12-19 15:30:00,NASDAQ:INTC,19.53,19.69,19.03,19.06,69117805.0
2024-12-20 15:30:00,NASDAQ:INTC,18.97,19.76,18.9,19.52,108453667.0
2024-12-23 15:30:00,NASDAQ:INTC,19.58,20.23,19.52,20.2,57988375.0
2024-12-24 15:30:00,NASDAQ:INTC,20.22,20.4,19.96,20.4,29884026.0
2024-12-26 15:30:00,NASDAQ:INTC,20.23,20.665,20.08,20.44,39950380.0
2024-12-27 15:30:00,NASDAQ:INTC,20.21,20.605,20.09,20.3,48260830.0
2024-12-30 15:30:00,NASDAQ:INTC,20.01,20.115,19.73,19.82,59608126.0
2024-12-31 15:30:00,NASDAQ:INTC,19.99,20.4,19.88,20.05,49846656.0
2025-01-02 15:30:00,NASDAQ:INTC,20.23,20.43,20.0,20.22,46438529.0
2025-01-03 15:30:00,NASDAQ:INTC,20.39,20.665,20.06,20.56,48983942.0
2025-01-06 15:30:00,NASDAQ:INTC,20.83,20.98,19.78,19.87,83270990.0
2025-01-07 15:30:00,NASDAQ:INTC,20.02,20.34,19.9,20.01,61726060.0
2025-01-08 15:30:00,NASDAQ:INTC,19.825,20.12,19.71,19.88,47897071.0
2025-01-10 15:30:00,NASDAQ:INTC,19.66,19.66,18.91,19.15,71244581.0
2025-01-13 15:30:00,NASDAQ:INTC,18.92,19.249,18.73,19.2,50668970.0
2025-01-14 15:30:00,NASDAQ:INTC,19.36,19.52,18.82,19.2,47147526.0
2025-01-15 15:30:00,NASDAQ:INTC,19.4,19.77,19.171,19.72,56305989.0
2025-01-16 15:30:00,NASDAQ:INTC,19.75,19.95,19.4,19.67,44898059.0
2025-01-17 15:30:00,NASDAQ:INTC,21.26,21.62,20.79,21.49,166483914.0
