"index","rmse","mse","huberLoss","smape","mape","rSquered","actualValue","futureValue","effectiveness"
"NASDAQ:AAPL","3.20812871490059","12.9601050420168","2.08993133838901","1.02836698093872","1.02836698093872","0.605517524082804","234.635","240.037101352736","81.94"
"NASDAQ:MSFT","4.48304722418255","27.4735941543166","3.13137203011056","0.835898023994354","0.841403493295695","0.676957186544342","428.695","429.666184427194","80.16"
"NASDAQ:NVDA","2.88294670280036","9.36362119843421","1.81646040349292","1.66701656127672","1.69027612165011","0.345675398976212","129.99","134.684968081903","71.7"
"NASDAQ:INTC","0.536360700563374","0.352306531834147","0.151571788888103","1.99445206609622","1.98107182424628","0.546256040355468","21.26","21.1568472290974","86.32"
